id sire dam generation sex phen env tbvp gebvp
370  64 101 1 M  0.82643541 -0.9382651369 1.5712211 0
371 175  98 1 M  2.32813873  0.3851843229 1.5026967 0
372 175  98 1 M  2.16153063  0.5936021278 1.3975633 0
373 175  98 1 M  1.94872137  0.8564447856 1.0877595 0
374 175  98 1 M  0.68411164 -0.1037123927 1.0395804 0
375 175  98 1 M  2.20424553  0.2501836501 1.6433228 0
376 175 107 1 M  1.36582832 -0.3390360513 1.7964698 0
377 175 107 1 M  0.14446864 -0.8727340368 1.4106962 0
378 175 107 1 M -0.01800901 -0.6856484251 1.2141446 0
379 175 107 1 F  2.68211912  0.8567591995 1.6709250 0
380 175 107 1 M  1.92241040 -0.0224164170 1.6403440 0
381  11  99 1 M  0.92137088 -0.3729730019 1.5192036 0
382  11  99 1 F  0.59770242 -0.6976113190 1.5010514 0
383  11  99 1 M  1.06582018 -0.7352501767 1.7215499 0
384  11  99 1 M  2.66184898 -0.4660438873 2.1423115 0
385  11  99 1 M  3.73057861  2.1246268352 1.7453487 0
386  11   3 1 F  3.45895113  0.5107819926 1.9641901 0
387  11   3 1 F  1.90285895  0.0317299608 1.7788369 0
388  11   3 1 F  2.64476635  0.5926870947 1.9527126 0
389  11   3 1 F  2.15608419  0.5191410983 1.7571518 0
390  11   3 1 M  0.72939142 -1.0980980092 1.7216064 0
391  88 188 1 F  2.01065859  1.7259429733 1.2788973 0
392  88 188 1 M  0.70056996  0.7312736389 1.1653013 0
393  88 188 1 F -0.03481866  0.2719029202 1.1744527 0
394  88 188 1 M  0.38449708 -0.5024966551 1.3832707 0
395  88 188 1 M  0.12180706 -0.1290942089 1.3722692 0
396  88 104 1 M -0.35107137 -0.6048156700 1.0177020 0
397  88 104 1 M  0.44575916 -0.4555879982 1.0639639 0
398  88 104 1 M  1.16747166  0.6423859364 1.0324268 0
399  88 104 1 M  0.95503401  0.1250722488 1.2303403 0
400  88 104 1 F  0.59667659  0.0985985995 1.0129145 0
401 199  33 1 F  2.45564563  0.1605609894 1.7433443 0
402 199  33 1 F  3.11277080  0.2672418118 2.0305922 0
403 199  33 1 F  2.17832734 -0.3202455748 1.8174877 0
404 199  33 1 F  1.98210941  0.1304112319 1.6363066 0
405 199  33 1 M  1.39065252 -1.0948939263 1.8613775 0
406 199 197 1 F  2.07797734  1.3347028204 1.3279553 0
407 199 197 1 M  1.27936625  0.5514906057 1.2709833 0
408 199 197 1 F  0.30554023 -0.5289517074 1.2692304 0
409 199 197 1 F  1.52239875  0.5709823516 1.2569913 0
410 199 197 1 F  0.77417717 -0.1360725125 1.3819585 0
411 150  42 1 M  2.81717339  0.8441973489 1.5346300 0
412 150  42 1 F  0.65914916 -0.9448142160 1.6334753 0
413 150  42 1 F -0.77388516 -0.7574810640 0.8454017 0
414 150  42 1 M  2.17445579  0.6945361621 1.2483634 0
415 150  42 1 M -0.03272655 -0.6222426916 1.1151435 0
416 150  84 1 F  0.26696025 -0.9340208205 1.1464372 0
417 150  84 1 M  1.17089211 -0.0879303396 1.2575774 0
418 150  84 1 F  2.40118399  1.4158075991 1.2983513 0
419 150  84 1 M  2.32384480  1.0555042523 1.3429419 0
420 150  84 1 F  2.60568345  1.0101937896 1.3608712 0
421 123 139 1 M  3.64481038  1.4867848144 1.5852548 0
422 123 139 1 M  2.80605269  1.5695435994 1.5561919 0
423 123 139 1 F  1.98779257  0.7502989179 1.4748262 0
424 123 139 1 F  1.64109089 -0.8184443473 1.8926868 0
425 123 139 1 M  2.16366228  0.0065616762 1.6286783 0
426 123 154 1 F  1.51373498  0.1177645465 1.3691931 0
427 123 154 1 F  1.33916109 -0.6368864404 1.7788113 0
428 123 154 1 M  0.15259866 -1.4455276168 1.4671922 0
429 123 154 1 F  1.63380514  0.1181933713 1.6002028 0
430 123 154 1 M  1.10207025  0.0165817078 1.5186254 0
431  72 103 1 F  4.04482497  1.6066840583 1.8023755 0
432  72 103 1 F  2.46476994  0.0752067436 2.0607348 0
433  72 103 1 F  2.17538813 -0.1971943488 1.8310707 0
434  72 103 1 M  2.33182205 -0.2425556764 1.9902817 0
435  72 103 1 F  1.36036201 -0.2188515556 1.6868896 0
436  72 133 1 F  0.53617178 -1.2431181917 1.9552836 0
437  72 133 1 F  1.18001989 -1.2104865456 1.7492932 0
